movie_name,movie_rank,movie_year,movie__IMDB_rating,movie_link
The Shawshank Redemption,1,1994,9.2,https://www.imdb.com/title/tt0111161/
The Godfather,2,1972,9.2,https://www.imdb.com/title/tt0068646/
The Dark Knight,3,2008,9.0,https://www.imdb.com/title/tt0468569/
The Godfather: Part II,4,1974,9.0,https://www.imdb.com/title/tt0071562/
12 Angry Men,5,1957,9.0,https://www.imdb.com/title/tt0050083/
Schindler's List,6,1993,8.9,https://www.imdb.com/title/tt0108052/
The Lord of the Rings: The Return of the King,7,2003,8.9,https://www.imdb.com/title/tt0167260/
Pulp Fiction,8,1994,8.9,https://www.imdb.com/title/tt0110912/
The Lord of the Rings: The Fellowship of the Ring,9,2001,8.8,https://www.imdb.com/title/tt0120737/
"Il buono, il brutto, il cattivo",10,1966,8.8,https://www.imdb.com/title/tt0060196/
Forrest Gump,11,1994,8.8,https://www.imdb.com/title/tt0109830/
Fight Club,12,1999,8.8,https://www.imdb.com/title/tt0137523/
Inception,13,2010,8.7,https://www.imdb.com/title/tt1375666/
The Lord of the Rings: The Two Towers,14,2002,8.7,https://www.imdb.com/title/tt0167261/
The Empire Strikes Back,15,1980,8.7,https://www.imdb.com/title/tt0080684/
The Matrix,16,1999,8.7,https://www.imdb.com/title/tt0133093/
Goodfellas,17,1990,8.7,https://www.imdb.com/title/tt0099685/
One Flew Over the Cuckoo's Nest,18,1975,8.6,https://www.imdb.com/title/tt0073486/
Se7en,19,1995,8.6,https://www.imdb.com/title/tt0114369/
Shichinin no samurai,20,1954,8.6,https://www.imdb.com/title/tt0047478/
It's a Wonderful Life,21,1946,8.6,https://www.imdb.com/title/tt0038650/
The Silence of the Lambs,22,1991,8.6,https://www.imdb.com/title/tt0102926/
Saving Private Ryan,23,1998,8.6,https://www.imdb.com/title/tt0120815/
Cidade de Deus,24,2002,8.6,https://www.imdb.com/title/tt0317248/
La vita è bella,25,1997,8.6,https://www.imdb.com/title/tt0118799/
The Green Mile,26,1999,8.6,https://www.imdb.com/title/tt0120689/
Star Wars,27,1977,8.6,https://www.imdb.com/title/tt0076759/
Interstellar,28,2014,8.6,https://www.imdb.com/title/tt0816692/
Terminator 2: Judgment Day,29,1991,8.5,https://www.imdb.com/title/tt0103064/
Back to the Future,30,1985,8.5,https://www.imdb.com/title/tt0088763/
Sen to Chihiro no kamikakushi,31,2001,8.5,https://www.imdb.com/title/tt0245429/
Psycho,32,1960,8.5,https://www.imdb.com/title/tt0054215/
Léon,33,1994,8.5,https://www.imdb.com/title/tt0110413/
The Pianist,34,2002,8.5,https://www.imdb.com/title/tt0253474/
Gisaengchung,35,2019,8.5,https://www.imdb.com/title/tt6751668/
The Lion King,36,1994,8.5,https://www.imdb.com/title/tt0110357/
Gladiator,37,2000,8.5,https://www.imdb.com/title/tt0172495/
American History X,38,1998,8.5,https://www.imdb.com/title/tt0120586/
